,Movie,Rating,Genre,Release Date,Runtime,Director,URL
348,The Super Mario Bros. Movie,0.0,"Adventure, Animation, Comedy, Family, Fantasy",04/07/2023 ,Null,Aaron Horvath,https://www.themoviedb.org/movie/502356-the-super-mario-bros-movie
349,Taken,74.0,"Action, Thriller",01/30/2009 ,1h 34m,Pierre Morel,https://www.themoviedb.org/movie/8681-taken
350,Clean,64.0,Crime,08/25/2022 ,1h 33m,Paul Solet,https://www.themoviedb.org/movie/689700-clean
351,Wrath of Man,77.0,"Action, Crime, Thriller",05/07/2021 ,1h 59m,Guy Ritchie,https://www.themoviedb.org/movie/637649-wrath-of-man
352,Monster Hunter,67.0,"Action, Fantasy, Adventure",12/18/2020 ,1h 44m,Paul W. S. Anderson,https://www.themoviedb.org/movie/458576-monster-hunter
353,Frozen,73.0,"Animation, Family, Adventure, Fantasy",11/27/2013 ,1h 42m,Chris Buck,https://www.themoviedb.org/movie/109445-frozen
354,Groot Takes a Bath,70.0,"Animation, Family, Comedy, Science Fiction",08/10/2022 ,5m,Kirsten Lepore,https://www.themoviedb.org/movie/1010821-groot-takes-a-bath
355,Fifty Shades of Grey,59.0,"Drama, Romance, Thriller",02/13/2015 ,2h 5m,Sam Taylor-Johnson,https://www.themoviedb.org/movie/216015-fifty-shades-of-grey
356,Taurus,80.0,"Drama, Music",01/26/2023 ,1h 38m,Tim Sutton,https://www.themoviedb.org/movie/844547-taurus
357,Pirates of the Caribbean: On Stranger Tides,65.0,"Adventure, Action, Fantasy",05/20/2011 ,2h 17m,Rob Marshall,https://www.themoviedb.org/movie/1865-pirates-of-the-caribbean-on-stranger-tides
358,Spider-Man: Homecoming,74.0,"Action, Adventure, Science Fiction, Drama",07/07/2017 ,2h 13m,Jon Watts,https://www.themoviedb.org/movie/315635-spider-man-homecoming
359,Avengers: Age of Ultron,73.0,"Action, Adventure, Science Fiction",04/24/2015 ,2h 21m,Joss Whedon,https://www.themoviedb.org/movie/99861-avengers-age-of-ultron
360,"Miraculous World: New York, United HeroeZ",82.0,"Animation, Family, Adventure, TV Movie, Fantasy, Action",12/18/2020 ,55m,Thomas Astruc,https://www.themoviedb.org/movie/755812-miraculous-world-new-york-les-heros-unis
361,Beyond the Universe,81.0,"Romance, Drama, Comedy",10/27/2022 ,2h 6m,Diego Freitas,https://www.themoviedb.org/movie/962232-depois-do-universo
362,Child of Kamiari Month,66.0,"Animation, Drama, Fantasy, Family",10/08/2021 ,1h 40m,Takana Shirai,https://www.themoviedb.org/movie/628964
363,Me Before You,79.0,"Drama, Romance",06/03/2016 ,1h 50m,Thea Sharrock,https://www.themoviedb.org/movie/296096-me-before-you
364,Black Widow,74.0,"Action, Adventure, Science Fiction",07/09/2021 ,2h 14m,Cate Shortland,https://www.themoviedb.org/movie/497698-black-widow
365,My Hero Academia: Heroes Rising,82.0,"Animation, Action, Fantasy, Adventure",12/20/2019 ,1h 44m,Ikuro Sato,https://www.themoviedb.org/movie/592350-the-movie
366,The Maze Runner,72.0,"Action, Mystery, Science Fiction, Thriller",09/18/2014 ,1h 53m,Wes Ball,https://www.themoviedb.org/movie/198663-the-maze-runner
367,Legend Quest: The Origin,83.0,"Animation, Comedy, Fantasy, Adventure, Family",02/15/2021 ,1h 30m,Ricardo Arnaiz,https://www.themoviedb.org/movie/667276-las-leyendas-el-origen
368,Arrival,76.0,"Drama, Science Fiction, Mystery",11/25/2016 ,1h 56m,Evelyne Renaud,https://www.themoviedb.org/movie/329865-arrival
369,Indemnity,69.0,"Action, Thriller, Crime",09/01/2022 ,2h 4m,Travis Taute,https://www.themoviedb.org/movie/854467-bez-winy
370,Virgin Forest,30.0,Thriller,06/24/2022 ,1h 53m,Brillante Mendoza,https://www.themoviedb.org/movie/985932-virgin-forest
371,Kimi,62.0,Thriller,02/10/2022 ,1h 29m,Steven Soderbergh,https://www.themoviedb.org/movie/800510-kimi
372,Fury,75.0,"War, Drama, Action",10/31/2014 ,2h 15m,David Ayer,https://www.themoviedb.org/movie/228150-fury
373,The Godfather,87.0,"Drama, Crime",03/14/1972 ,2h 55m,Fred T. Gallo,https://www.themoviedb.org/movie/238-the-godfather
374,Princess Principal Crown Handler: Chapter 2,85.0,"Animation, Action, Adventure, Drama, Mystery",09/23/2021 ,Null,Masaki Tachibana,https://www.themoviedb.org/movie/843267-crown-handler-2
375,Oppressive Torture,20.0,,01/14/1978 ,1h 1m,Kōji Wakamatsu,https://www.themoviedb.org/movie/466353
376,Beauty Salon: Special Service,67.0,"Romance, Drama",12/29/2016 ,1h 21m,Lee Ri-dan,https://www.themoviedb.org/movie/452251
377,Dune,78.0,"Science Fiction, Adventure",10/22/2021 ,2h 35m,Denis Villeneuve,https://www.themoviedb.org/movie/438631-dune
378,Frozen II,73.0,"Family, Animation, Adventure, Comedy, Fantasy",11/22/2019 ,1h 43m,Chris Buck,https://www.themoviedb.org/movie/330457-frozen-ii
379,Harry Potter 20th Anniversary: Return to Hogwarts,73.0,Documentary,01/01/2022 ,1h 43m,Casey Patterson,https://www.themoviedb.org/movie/899082-harry-potter-20th-anniversary-return-to-hogwarts
380,The Hating Game,75.0,"Romance, Comedy",12/09/2021 ,1h 42m,Peter Hutchings,https://www.themoviedb.org/movie/603661-the-hating-game
381,Mortal Kombat,71.0,"Action, Fantasy, Adventure",04/23/2021 ,1h 50m,Simon McQuoid,https://www.themoviedb.org/movie/460465-mortal-kombat
382,It Chapter Two,69.0,"Horror, Fantasy",09/06/2019 ,2h 49m,Andy Muschietti,https://www.themoviedb.org/movie/474350-it-chapter-two
383,Miraculous World: Shanghai – The Legend of Ladydragon,79.0,"Animation, Family, Adventure, Fantasy, Action, TV Movie",05/15/2021 ,52m,Thomas Astruc,https://www.themoviedb.org/movie/726684-miraculous-world-shanghai-la-legende-de-ladydragon
384,The Greatest Beer Run Ever,78.0,"Drama, Comedy, War",09/30/2022 ,2h 6m,Peter Farrelly,https://www.themoviedb.org/movie/597922-the-greatest-beer-run-ever
385,The Conjuring: The Devil Made Me Do It,76.0,"Horror, Mystery, Thriller",06/04/2021 ,1h 51m,Michael Chaves,https://www.themoviedb.org/movie/423108-the-conjuring-the-devil-made-me-do-it
386,The Desperate Hour,61.0,Thriller,09/12/2021 ,1h 24m,Phillip Noyce,https://www.themoviedb.org/movie/764835-the-desperate-hour
387,Space Jam: A New Legacy,69.0,"Family, Animation, Comedy, Science Fiction",07/16/2021 ,1h 55m,Malcolm D. Lee,https://www.themoviedb.org/movie/379686-space-jam-a-new-legacy
388,Ghostbusters: Afterlife,76.0,"Fantasy, Comedy, Adventure",11/11/2021 ,2h 4m,Jason Reitman,https://www.themoviedb.org/movie/425909-ghostbusters-afterlife
389,Héroes de barrio,61.0,"Comedy, Drama",06/24/2022 ,Null,Ángeles Reiné,https://www.themoviedb.org/movie/810214-heroes-de-barrio
390,The Hobbit: The Battle of the Five Armies,73.0,"Action, Adventure, Fantasy",12/17/2014 ,2h 24m,Peter Jackson,https://www.themoviedb.org/movie/122917-the-hobbit-the-battle-of-the-five-armies
391,Addams Family Reunion,47.0,"Family, Comedy, Fantasy, TV Movie",12/24/1998 ,1h 31m,Dave Payne,https://www.themoviedb.org/movie/11508-addams-family-reunion
392,Last Man Down,55.0,"Action, Thriller",11/03/2022 ,1h 27m,Fansu Njie,https://www.themoviedb.org/movie/860623-last-man-down
393,The Wolf of Wall Street,80.0,"Crime, Drama, Comedy",12/25/2013 ,3h,Martin Scorsese,https://www.themoviedb.org/movie/106646-the-wolf-of-wall-street
394,Fight Club,84.0,"Drama, Thriller, Comedy",10/15/1999 ,2h 19m,David Fincher,https://www.themoviedb.org/movie/550-fight-club
395,Exploits of a Young Don Juan,55.0,"Comedy, Drama",03/11/1987 ,1h 35m,Gianfranco Mingozzi,https://www.themoviedb.org/movie/81774-les-exploits-d-un-jeune-don-juan
396,Ivy + Bean: The Ghost That Had to Go,60.0,"Family, Comedy",09/02/2022 ,1h 2m,Elissa Down,https://www.themoviedb.org/movie/1014676-ivy-bean-the-ghost-that-had-to-go
397,Don't Leave,55.0,"Romance, Drama",11/11/2022 ,1h 47m,Ozan Açıktan,https://www.themoviedb.org/movie/1040263-kal
398,The No Man Zone. The Movie,0.0,"Comedy, Science Fiction",06/09/2022 ,Null,Dmitry Gribanov,https://www.themoviedb.org/movie/981588
399,Enchanted,68.0,"Comedy, Family, Fantasy, Romance",11/20/2007 ,1h 47m,Kevin Lima,https://www.themoviedb.org/movie/4523-enchanted
400,Raya and the Last Dragon,80.0,"Animation, Family, Fantasy, Action, Adventure",03/05/2021 ,1h 47m,John Ripa,https://www.themoviedb.org/movie/527774-raya-and-the-last-dragon
401,Survive,57.0,"Adventure, Drama, Thriller",10/01/2022 ,1h 48m,Mark Pellington,https://www.themoviedb.org/movie/1026706-survive
402,Blacklight,63.0,"Action, Thriller",02/10/2022 ,1h 44m,Mark Williams,https://www.themoviedb.org/movie/823625-blacklight
403,Orphan,70.0,"Horror, Thriller, Mystery",09/18/2009 ,2h 3m,Jaume Collet-Serra,https://www.themoviedb.org/movie/21208-orphan
404,Fifty Shades Freed,67.0,"Drama, Romance",02/09/2018 ,1h 45m,Michael Collins,https://www.themoviedb.org/movie/337167-fifty-shades-freed
405,Toy Story 2,76.0,"Animation, Comedy, Family",11/24/1999 ,1h 32m,Ash Brannon,https://www.themoviedb.org/movie/863-toy-story-2
406,Tangled,76.0,"Animation, Family",01/21/2011 ,1h 40m,Byron Howard,https://www.themoviedb.org/movie/38757-tangled
407,Dragon Ball Z: Broly – The Legendary Super Saiyan,73.0,"Animation, Science Fiction, Action",03/06/1993 ,1h 10m,Shigeyasu Yamauchi,https://www.themoviedb.org/movie/34433
408,The Hunger Games: Mockingjay - Part 1,68.0,"Science Fiction, Adventure, Thriller",11/21/2014 ,2h 3m,Francis Lawrence,https://www.themoviedb.org/movie/131631-the-hunger-games-mockingjay-part-1
409,Constantine: The House of Mystery,72.0,"Animation, Action, Adventure",05/03/2022 ,27m,Matt Peters,https://www.themoviedb.org/movie/791348-constantine-the-house-of-mystery
410,LEGO Marvel Super Heroes: Black Panther - Trouble in Wakanda,63.0,"Animation, Fantasy, Family",06/04/2018 ,22m,Michael D. Black,https://www.themoviedb.org/movie/528222-lego-marvel-super-heroes-black-panther-trouble-in-wakanda
411,Deadpool 2,75.0,"Action, Comedy, Adventure",05/18/2018 ,2h,David Leitch,https://www.themoviedb.org/movie/383498-deadpool-2
412,Asking For It,56.0,"Action, Thriller, Drama",03/04/2022 ,1h 37m,Eamon O'Rourke,https://www.themoviedb.org/movie/825672-asking-for-it
413,Shrek Forever After,63.0,"Comedy, Adventure, Fantasy, Animation, Family",05/16/2010 ,1h 33m,Mike Mitchell,https://www.themoviedb.org/movie/10192-shrek-forever-after
414,The Little Guy,75.0,"Animation, Family, Comedy, Science Fiction",08/10/2022 ,5m,Kirsten Lepore,https://www.themoviedb.org/movie/1010819-the-little-guy
415,Shazam!,70.0,"Action, Comedy, Fantasy",04/05/2019 ,2h 12m,David F. Sandberg,https://www.themoviedb.org/movie/287947-shazam
416,F9,72.0,"Action, Adventure, Crime, Thriller",06/25/2021 ,2h 23m,Sarah Mulberge,https://www.themoviedb.org/movie/385128-f9
417,The Shawshank Redemption,87.0,"Drama, Crime",10/14/1994 ,2h 22m,John R. Woodward,https://www.themoviedb.org/movie/278-the-shawshank-redemption
418,Dragon Ball Z: Wrath of the Dragon,72.0,"Animation, Action, Science Fiction",07/15/1995 ,51m,Mitsuo Hashimoto,https://www.themoviedb.org/movie/39108-z
419,Boyka: Undisputed IV,70.0,"Action, Drama",08/01/2016 ,1h 27m,Tim Man,https://www.themoviedb.org/movie/348893-boyka-undisputed-iv
420,Alice no Mundo da Internet,28.0,"Adventure, Fantasy",08/05/2022 ,1h 27m,Fabrício Bittar,https://www.themoviedb.org/movie/1008204-alice-no-mundo-da-internet
421,Belle,79.0,"Animation, Drama, Science Fiction, Music",07/16/2021 ,2h 2m,Taisuke Mamori,https://www.themoviedb.org/movie/776305
422,Everything Everywhere All at Once,81.0,"Action, Adventure, Science Fiction",04/08/2022 ,2h 20m,Daniel Kwan,https://www.themoviedb.org/movie/545611-everything-everywhere-all-at-once
423,Purpose of Reunion 3,43.0,"Drama, Romance",02/20/2018 ,1h 20m,Lee Do-si,https://www.themoviedb.org/movie/502235-3
424,Despicable Me 2,69.0,"Animation, Comedy, Family",07/03/2013 ,1h 38m,Chris Renaud,https://www.themoviedb.org/movie/93456-despicable-me-2
425,Close,78.0,Drama,11/02/2022 ,1h 45m,Lukas Dhont,https://www.themoviedb.org/movie/901563-close
426,Through My Window,75.0,"Drama, Romance",02/04/2022 ,1h 52m,Marçal Forés,https://www.themoviedb.org/movie/818647-a-traves-de-mi-ventana
427,Decision to Leave,73.0,"Mystery, Thriller, Crime, Drama, Romance",06/29/2022 ,2h 18m,Kim Seong-sik,https://www.themoviedb.org/movie/705996
428,2037,74.0,"Family, Drama",06/08/2022 ,2h 6m,Mo Hong-jin,https://www.themoviedb.org/movie/833593
429,Carter,61.0,"Action, Thriller",08/05/2022 ,2h 12m,Jung Byung-gil,https://www.themoviedb.org/movie/800345
430,The Simpsons in Plusaversary,66.0,"Animation, Comedy, Fantasy",11/12/2021 ,4m,David Silverman,https://www.themoviedb.org/movie/877183-the-simpsons-in-plusaversary
431,Pirates of the Caribbean: The Curse of the Black Pearl,78.0,"Adventure, Fantasy, Action",08/15/2003 ,2h 23m,Lisa Mantoux,https://www.themoviedb.org/movie/22-pirates-of-the-caribbean-the-curse-of-the-black-pearl
432,The Protégé,66.0,"Action, Thriller",08/20/2021 ,1h 49m,Martin Campbell,https://www.themoviedb.org/movie/645788-the-protege
433,The Good Nurse,70.0,"Drama, Crime, Mystery",10/20/2022 ,2h 1m,Tobias Lindholm,https://www.themoviedb.org/movie/541134-the-good-nurse
434,The Lord of the Rings: The Fellowship of the Ring,84.0,"Adventure, Fantasy, Action",03/15/2002 ,2h 59m,Peter Jackson,https://www.themoviedb.org/movie/120-the-lord-of-the-rings-the-fellowship-of-the-ring
435,Blue Thermal,55.0,"Animation, Drama, Romance, Comedy",03/04/2022 ,1h 43m,Masaki Tachibana,https://www.themoviedb.org/movie/865767
436,The Little Mermaid,73.0,"Animation, Family, Fantasy",11/17/1989 ,1h 23m,Michael Serrian,https://www.themoviedb.org/movie/10144-the-little-mermaid
437,Pirates of the Caribbean: At World's End,72.0,"Adventure, Fantasy, Action",05/19/2007 ,2h 49m,Gore Verbinski,https://www.themoviedb.org/movie/285-pirates-of-the-caribbean-at-world-s-end
438,Girl in the Basement,80.0,"Crime, Thriller, TV Movie",02/27/2021 ,1h 28m,Elisabeth Röhm,https://www.themoviedb.org/movie/801335-girl-in-the-basement
439,The Lion King II: Simba's Pride,70.0,"Family, Adventure, Animation, Action",10/24/1998 ,1h 21m,Rob LaDuca,https://www.themoviedb.org/movie/9732-the-lion-king-ii-simba-s-pride
440,The Lion King,71.0,"Adventure, Drama, Family",07/19/2019 ,1h 58m,Jon Favreau,https://www.themoviedb.org/movie/420818-the-lion-king
441,Hansan: Rising Dragon,71.0,"History, Action, Drama, War",07/27/2022 ,2h 10m,Kim Han-min,https://www.themoviedb.org/movie/588108
442,The Nightmare Before Christmas,78.0,"Fantasy, Animation, Family",10/29/1993 ,1h 16m,Henry Selick,https://www.themoviedb.org/movie/9479-the-nightmare-before-christmas
443,Pirates of the Caribbean: Dead Man's Chest,73.0,"Adventure, Fantasy, Action",07/07/2006 ,2h 31m,Clark Credle,https://www.themoviedb.org/movie/58-pirates-of-the-caribbean-dead-man-s-chest
444,The Penitent Thief,57.0,Drama,02/25/2021 ,1h 33m,Lucas Miles,https://www.themoviedb.org/movie/778552-the-penitent-thief
445,Free Guy,76.0,"Comedy, Adventure, Science Fiction",09/17/2021 ,1h 55m,Shawn Levy,https://www.themoviedb.org/movie/550988-free-guy
446,Ambulance,69.0,"Action, Thriller, Crime",04/08/2022 ,2h 16m,Michael Bay,https://www.themoviedb.org/movie/763285-ambulance
447,Beauty Salon: Special Services 4,65.0,Romance,05/04/2020 ,Null,Michael Bay,https://www.themoviedb.org/movie/721187-4
448,War for the Planet of the Apes,71.0,"Drama, Science Fiction, War",07/14/2017 ,2h 20m,Matt Reeves,https://www.themoviedb.org/movie/281338-war-for-the-planet-of-the-apes
449,Young Mother 3,57.0,Romance,09/03/2015 ,1h 35m,Chae Gil-byeong,https://www.themoviedb.org/movie/386716-3
450,Mulan,79.0,"Animation, Family, Adventure",06/19/1998 ,1h 28m,Barry Cook,https://www.themoviedb.org/movie/10674-mulan
451,Cars 2,60.0,"Animation, Family, Adventure, Comedy",06/16/2011 ,1h 46m,Brad Lewis,https://www.themoviedb.org/movie/49013-cars-2
452,Corpse Bride,75.0,"Romance, Fantasy, Animation",09/23/2005 ,1h 17m,Mike Johnson,https://www.themoviedb.org/movie/3933-corpse-bride
453,Real Steel,69.0,"Action, Science Fiction, Drama",10/06/2011 ,2h 7m,Shawn Levy,https://www.themoviedb.org/movie/39254-real-steel
454,Tom and Jerry Cowboy Up!,69.0,"Animation, Comedy, Family, Western",01/25/2022 ,1h 15m,Darrell Van Citters,https://www.themoviedb.org/movie/892153-tom-and-jerry-cowboy-up
455,The Tipping Point,0.0,"Crime, Drama",11/11/2022 ,Null,Darrell Van Citters,https://www.themoviedb.org/movie/939754-the-tipping-point
456,The Town,72.0,"Crime, Drama, Thriller",10/15/2010 ,2h 5m,Donald Murphy,https://www.themoviedb.org/movie/23168-the-town
457,Spider-Man: Far from Home,75.0,"Action, Adventure, Science Fiction",07/04/2019 ,2h 9m,Jon Watts,https://www.themoviedb.org/movie/429617-spider-man-far-from-home
458,Three Steps Above Heaven,78.0,"Romance, Drama",12/03/2010 ,2h 2m,Fernando González Molina,https://www.themoviedb.org/movie/61979-tres-metros-sobre-el-cielo
459,Birds of Prey,70.0,"Action, Crime",02/07/2020 ,1h 49m,Dieter Busch,https://www.themoviedb.org/movie/495764-birds-of-prey-and-the-fantabulous-emancipation-of-one-harley-quinn
460,The SpongeBob Movie: Sponge on the Run,76.0,"Family, Animation, Fantasy, Adventure, Comedy",08/14/2020 ,1h 35m,Tim Hill,https://www.themoviedb.org/movie/400160-the-spongebob-movie-sponge-on-the-run
461,Bring It On: Cheer or Die,65.0,"Thriller, Horror, Comedy, TV Movie",09/27/2022 ,1h 31m,Karen Lam,https://www.themoviedb.org/movie/831410-bring-it-on-cheer-or-die
462,Blaze,51.0,"Drama, Fantasy, Crime",08/25/2022 ,1h 41m,Del Kathryn Barton,https://www.themoviedb.org/movie/767254-blaze
463,The Conjuring,75.0,"Horror, Thriller",08/02/2013 ,1h 52m,James Wan,https://www.themoviedb.org/movie/138843-the-conjuring
464,The Munsters,61.0,"Comedy, Fantasy",09/27/2022 ,1h 50m,Rob Zombie,https://www.themoviedb.org/movie/804413-the-munsters
465,Me Time,60.0,Comedy,08/26/2022 ,1h 44m,John Hamburg,https://www.themoviedb.org/movie/862551-me-time
466,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",71.0,"Adventure, Family, Fantasy",12/09/2005 ,2h 23m,Chris Castaldi,https://www.themoviedb.org/movie/411-the-chronicles-of-narnia-the-lion-the-witch-and-the-wardrobe
467,Fast & Furious Presents: Hobbs & Shaw,69.0,"Action, Adventure, Comedy",08/02/2019 ,2h 17m,David Leitch,https://www.themoviedb.org/movie/384018-fast-furious-presents-hobbs-shaw
468,No Time to Die,74.0,"Adventure, Action, Thriller",09/30/2021 ,2h 43m,Cary Joji Fukunaga,https://www.themoviedb.org/movie/370172-no-time-to-die
469,Meet Cute,61.0,"Comedy, Romance, Science Fiction",09/21/2022 ,1h 30m,Alexandre Lehmann,https://www.themoviedb.org/movie/843543-meet-cute
470,Gunpowder Milkshake,64.0,"Action, Crime, Thriller",07/14/2021 ,1h 54m,Navot Papushado,https://www.themoviedb.org/movie/574060-gunpowder-milkshake
471,Devil's Workshop,61.0,Horror,09/30/2022 ,1h 26m,Chris von Hoffmann,https://www.themoviedb.org/movie/1023086-devil-s-workshop
472,World War Z,68.0,"Action, Drama, Horror, Science Fiction, Thriller",06/21/2013 ,1h 56m,Marc Forster,https://www.themoviedb.org/movie/72190-world-war-z
473,Undisputed III: Redemption,76.0,"Action, Thriller",05/22/2010 ,1h 36m,Isaac Florentine,https://www.themoviedb.org/movie/38234-undisputed-iii-redemption
474,Mad Max: Fury Road,76.0,"Action, Adventure, Science Fiction",05/15/2015 ,2h 1m,P.J. Voeten,https://www.themoviedb.org/movie/76341-mad-max-fury-road
475,Wonder Woman 1984,65.0,"Action, Adventure, Fantasy",12/25/2020 ,2h 31m,Patty Jenkins,https://www.themoviedb.org/movie/464052-wonder-woman-1984
476,Cat Pack: A PAW Patrol Exclusive Event,76.0,"Animation, Family",06/24/2022 ,1h 8m,Patty Jenkins,https://www.themoviedb.org/movie/991833-cat-pack-a-paw-patrol-exclusive-event
477,xXx: Return of Xander Cage,61.0,"Action, Adventure, Crime",01/13/2017 ,1h 47m,D. J. Caruso,https://www.themoviedb.org/movie/47971-xxx-return-of-xander-cage
478,Charlie and the Chocolate Factory,70.0,"Adventure, Comedy, Family, Fantasy",07/15/2005 ,1h 55m,Katterli Frauenfelder,https://www.themoviedb.org/movie/118-charlie-and-the-chocolate-factory
479,Captain America: Civil War,74.0,"Adventure, Action, Science Fiction",05/06/2016 ,2h 27m,Anthony Russo,https://www.themoviedb.org/movie/271110-captain-america-civil-war
480,Guillermo del Toro's Pinocchio,67.0,"Animation, Fantasy, Drama, Thriller",11/17/2022 ,1h 57m,Guillermo del Toro,https://www.themoviedb.org/movie/555604-guillermo-del-toro-s-pinocchio
481,My Hero Academia: Two Heroes,79.0,"Animation, Action, Adventure, Fantasy",08/03/2018 ,1h 36m,Kenji Nagasaki,https://www.themoviedb.org/movie/505262-the-movie-2
482,No Manches Frida 2,80.0,Comedy,03/15/2019 ,1h 42m,Nacho G. Velilla,https://www.themoviedb.org/movie/554596-no-manches-frida-2
483,Incantation,69.0,Horror,03/18/2022 ,1h 51m,Kevin Ko,https://www.themoviedb.org/movie/864370
484,Finding Nemo,78.0,"Animation, Family",05/30/2003 ,1h 40m,Lee Unkrich,https://www.themoviedb.org/movie/12-finding-nemo
485,Joker,82.0,"Crime, Thriller, Drama",10/02/2019 ,2h 2m,Todd Phillips,https://www.themoviedb.org/movie/475557-joker
486,How to Train Your Dragon: The Hidden World,78.0,"Animation, Family, Adventure",03/21/2019 ,1h 44m,Dean DeBlois,https://www.themoviedb.org/movie/166428-how-to-train-your-dragon-the-hidden-world
487,Chip 'n Dale: Rescue Rangers,70.0,"Animation, Family, Comedy, Adventure, Mystery",05/20/2022 ,1h 39m,Akiva Schaffer,https://www.themoviedb.org/movie/420821-chip-n-dale-rescue-rangers
488,Alienoid,73.0,"Action, Fantasy, Science Fiction, Adventure",07/20/2022 ,2h 23m,Choi Dong-hoon,https://www.themoviedb.org/movie/601796-1
489,Spider-Man: Into the Spider-Verse,84.0,"Action, Adventure, Animation, Science Fiction",12/14/2018 ,1h 57m,Bob Persichetti,https://www.themoviedb.org/movie/324857-spider-man-into-the-spider-verse
490,The Outfit,72.0,"Crime, Drama, Thriller",03/18/2022 ,1h 45m,Graham Moore,https://www.themoviedb.org/movie/799876-the-outfit
491,The Equalizer,72.0,"Thriller, Action, Crime",11/21/2014 ,2h 12m,Antoine Fuqua,https://www.themoviedb.org/movie/156022-the-equalizer
492,Kama Sutra: A Tale of Love,57.0,"Drama, History, Romance",02/28/1997 ,1h 57m,Mira Nair,https://www.themoviedb.org/movie/28005-kama-sutra-a-tale-of-love
493,No Exit,70.0,"Horror, Thriller, Mystery",02/25/2022 ,1h 36m,Damien Power,https://www.themoviedb.org/movie/833425-no-exit
494,Yaksha: Ruthless Operations,64.0,"Action, Adventure, Crime, Thriller",04/08/2022 ,2h 5m,Na Hyun,https://www.themoviedb.org/movie/606402
495,Taken 2,63.0,"Action, Crime, Thriller",10/04/2012 ,1h 31m,Sandie Louit,https://www.themoviedb.org/movie/82675-taken-2
496,Transformers: Age of Extinction,59.0,"Science Fiction, Action, Adventure",06/27/2014 ,2h 45m,Michael Bay,https://www.themoviedb.org/movie/91314-transformers-age-of-extinction
497,Belli ciao,56.0,Comedy,01/01/2022 ,1h 27m,Gennaro Nunziante,https://www.themoviedb.org/movie/773820-belli-ciao
498,Purple Hearts,83.0,"Romance, Drama",07/29/2022 ,2h 2m,Elizabeth Allen Rosenbaum,https://www.themoviedb.org/movie/762975-purple-hearts
499,Your Name.,85.0,"Romance, Animation, Drama",08/26/2016 ,1h 46m,Makoto Shinkai,https://www.themoviedb.org/movie/372058
500,Glass Onion: A Knives Out Mystery,78.0,"Comedy, Crime, Mystery",11/23/2022 ,2h 19m,Rian Johnson,https://www.themoviedb.org/movie/661374-glass-onion-a-knives-out-mystery
501,Puss in Boots,64.0,"Action, Animation, Adventure, Comedy, Family",10/28/2011 ,1h 30m,Chris Miller,https://www.themoviedb.org/movie/417859-puss-in-boots
502,8 Years,60.0,Drama,09/24/2022 ,1h 37m,JD Alcázar,https://www.themoviedb.org/movie/822213-8-anos
503,Dawn of the Planet of the Apes,73.0,"Science Fiction, Action, Drama, Thriller",07/10/2014 ,2h 10m,Matt Reeves,https://www.themoviedb.org/movie/119450-dawn-of-the-planet-of-the-apes
504,Triangle of Sadness,76.0,"Comedy, Drama",10/07/2022 ,2h 27m,Anna Hällgren,https://www.themoviedb.org/movie/497828-triangle-of-sadness
505,Wrong Turn 3: Left for Dead,56.0,"Horror, Thriller",10/20/2009 ,1h 31m,Declan O'Brien,https://www.themoviedb.org/movie/23823-wrong-turn-3-left-for-dead
506,Female Urologists,0.0,"Drama, Romance",02/22/2018 ,1h 12m,Jo Tae-ho,https://www.themoviedb.org/movie/502436
507,Green Lantern: Beware My Power,72.0,"Animation, Action, Science Fiction",07/26/2022 ,1h 27m,Jeff Wamester,https://www.themoviedb.org/movie/887357-green-lantern-beware-my-power
508,Iron Man,76.0,"Action, Science Fiction, Adventure",05/01/2008 ,2h 6m,Jon Favreau,https://www.themoviedb.org/movie/1726-iron-man
509,Creed II,70.0,Drama,11/21/2018 ,2h 10m,Steven Caple Jr.,https://www.themoviedb.org/movie/480530-creed-ii
510,Once In The Desert,71.0,"War, Drama",02/17/2022 ,2h 1m,Andrey Kravchuk,https://www.themoviedb.org/movie/589764
511,Top Gun,70.0,"Action, Drama",05/16/1986 ,1h 50m,Tony Scott,https://www.themoviedb.org/movie/744-top-gun
512,Shrek the Third,63.0,"Fantasy, Adventure, Animation, Comedy, Family",05/17/2007 ,1h 33m,Raman Hui,https://www.themoviedb.org/movie/810-shrek-the-third
513,Hustle,79.0,"Drama, Comedy",06/03/2022 ,1h 58m,Jeremiah Zagar,https://www.themoviedb.org/movie/705861-hustle
514,Cars 3,68.0,"Animation, Adventure, Comedy, Family",06/16/2017 ,1h 42m,Brian Fee,https://www.themoviedb.org/movie/260514-cars-3
515,Ava,58.0,"Action, Crime, Drama, Adventure, Thriller",09/25/2020 ,1h 36m,Tate Taylor,https://www.themoviedb.org/movie/539885-ava
516,The Polar Express,67.0,"Animation, Family, Adventure, Fantasy, Comedy",12/24/2004 ,1h 40m,Robert Zemeckis,https://www.themoviedb.org/movie/5255-the-polar-express
517,A Trip to Infinity,66.0,Documentary,09/26/2022 ,1h 19m,Drew Takahashi,https://www.themoviedb.org/movie/1005031-a-trip-to-infinity
518,Limitless,72.0,"Thriller, Mystery, Science Fiction",04/29/2011 ,1h 45m,Neil Burger,https://www.themoviedb.org/movie/51876-limitless
519,Jumanji: The Next Level,70.0,"Adventure, Comedy, Fantasy",12/13/2019 ,2h 3m,Jake Kasdan,https://www.themoviedb.org/movie/512200-jumanji-the-next-level
